Teks,Label,Cleaning,Case Folding,Tweet Bersih
b'Mari bersama kita lawan Corona dengan dukung program vaksin untuk indonesia yang lebih baik  #Waspada #mutasibaru #Vaksinasi #TetapDirumahAja SNMPTN https://t.co/e9e8r7T1ko',1,Mari bersama kita lawan Corona dengan dukung program vaksin untuk indonesia yang lebih baik SNMPTN,mari bersama kita lawan corona dengan dukung program vaksin untuk indonesia yang lebih baik snmptn,mari lawan corona dukung program vaksin indonesia snmptn
b'jauhi perkumpulan orang banyak dan senantiasa menjalankan prokes untuk indonesia bebas corona  #Waspada #mutasibaru #Vaksinasi #TetapDirumahAja SNMPTN https://t.co/Fg5pyZRRxn',0,jauhi perkumpulan orang banyak dan senantiasa menjalankan prokes untuk indonesia bebas corona SNMPTN,jauhi perkumpulan orang banyak dan senantiasa menjalankan prokes untuk indonesia bebas corona snmptn,jauh kumpul orang senantiasa jalan prokes indonesia bebas corona snmptn
b'TIMELINE INDONESIA MENGHADAPI VIRUS CORONA (COVID19) - https://t.co/QiNAk0uPId https://t.co/SqcZt2FRpW',0,TIMELINE INDONESIA MENGHADAPI VIRUS CORONA COVID,timeline indonesia menghadapi virus corona covid,timeline indonesia hadap virus corona covid
"b'""AMBIL HIKMAHNYA  COVID 19""\nJika keadaan pendapatan mu\nBERKURANG\nUpaya kan amal SHOLEH dan PAHALA mu yang bertabah BANYAK.\n Semoga badai CORONA segera hancur dan musnah di muka bumi.\n Dan Allah SWT jadikan INDONESIA\n  BAlDATUN THOYYIBATUN WAROBBUN GHOFUR,,,, AAMIIN  AAMIIN YRA.'",1,AMBIL HIKMAHNYA COVID Jika keadaan pendapatan BERKURANG Upaya kan amal SHOLEH dan PAHALA yang bertabah BANYAK Semoga badai CORONA segera hancur dan musnah muka bumi Dan Allah SWT jadikan INDONESIA BAlDATUN THOYYIBATUN WAROBBUN GHOFUR AAMIIN AAMIIN YRA,ambil hikmahnya covid jika keadaan pendapatan berkurang upaya kan amal sholeh dan pahala yang bertabah banyak semoga badai corona segera hancur dan musnah muka bumi dan allah swt jadikan indonesia baldatun thoyyibatun warobbun ghofur aamiin aamiin yra,ambil hikmah covid dapat kurang upaya amal sholeh pahala tabah moga badai corona hancur musnah muka bumi allah swt jadi indonesia baldatun thoyyibatun warobbun ghofur aamiin aamiin yra
b'For your information!\nWaspada Virus Corona di Tempat Beraktivitas\n\n#protokolkesehatan #COVID19 #indonesia https://t.co/qGh8z8dgv7',0,For your information Waspada Virus Corona Tempat Beraktivitas,for your information waspada virus corona tempat beraktivitas,for your information waspada virus corona aktivitas
b'Pihak Astrazeneca membantah fatwa dan pernyataan MUI kalau vaksin Corona AstraZeneca mengandung babi. AstraZeneca Indonesia menyatakan vaksin buatannya tidak mengandung babi dan hewan lain dalam proses pembuatannya.\n\nMUI skrg kok ngaco sih...!\n\n@KemenkesRI\nhttps://t.co/oOx9X1ixdh',1,Pihak Astrazeneca membantah fatwa dan pernyataan MUI kalau vaksin Corona AstraZeneca mengandung babi AstraZeneca Indonesia menyatakan vaksin buatannya tidak mengandung babi dan hewan lain dalam proses pembuatannya MUI skrg kok ngaco sih,pihak astrazeneca membantah fatwa dan pernyataan mui kalau vaksin corona astrazeneca mengandung babi astrazeneca indonesia menyatakan vaksin buatannya tidak mengandung babi dan hewan lain dalam proses pembuatannya mui skrg kok ngaco sih,astrazeneca ban fatwa nyata mui vaksin corona astrazeneca kandung babi astrazeneca indonesia vaksin buat kandung babi hewan proses buat mui skrg ngaco sih
b'Update Sebaran Kasus Corona di Indonesia https://t.co/wPKakBLa9V',0,Update Sebaran Kasus Corona Indonesia,update sebaran kasus corona indonesia,update sebar corona indonesia
"b'Pasien Sembuh Corona di Indonesia Capai 88,4 Persen https://t.co/JUHlKFh4bd'",0,Pasien Sembuh Corona Indonesia Capai Persen,pasien sembuh corona indonesia capai persen,pasien sembuh corona indonesia capai persen
b'Perlu adanya kesadaran dan ketaatan mengikuti protokol kesehatan dari seluruh lapisan masyarakat agar bisa menekan penyebaran virus Corona di Indonesia',0,Perlu adanya kesadaran dan ketaatan mengikuti protokol kesehatan dari seluruh lapisan masyarakat agar bisa menekan penyebaran virus Corona Indonesia,perlu adanya kesadaran dan ketaatan mengikuti protokol kesehatan dari seluruh lapisan masyarakat agar bisa menekan penyebaran virus corona indonesia,sadar taat ikut protokol sehat lapis masyarakat tekan sebar virus corona indonesia
"b'MUI tetap memberikan lampu hijau penggunaan AstraZeneca, mengingat vaksin dinilai merupakan salah satu upaya mengendalikan pandemi virus corona di Indonesia. #CNNIndonesia #detiknetwork \n\nhttps://t.co/iP31eHyNjB'",1,MUI tetap memberikan lampu hijau penggunaan AstraZeneca mengingat vaksin dinilai merupakan salah satu upaya mengendalikan pandemi virus corona Indonesia,mui tetap memberikan lampu hijau penggunaan astrazeneca mengingat vaksin dinilai merupakan salah satu upaya mengendalikan pandemi virus corona indonesia,mui lampu hijau guna astrazeneca vaksin nilai salah upaya kendali pandemi virus corona indonesia
"b""Suka Duka Nakes Tangani COVID-19, 'PHP' Insentif dan Positif Corona https://t.co/viBmwqEJio via @idntimes""",1,Suka Duka Nakes Tangani COVID PHP Insentif dan Positif Corona via,suka duka nakes tangani covid php insentif dan positif corona via,suka duka nakes tangan covid php insentif positif corona via
b'Ketua Satgas Ikatan Dokter Indonesia (IDI) Prof Zubairi Djoerban menyebut soal kemungkinan orang yang terinfeksi\xc2\xa0varian baru virus Corona\xc2\xa0meninggal dunia lebih tinggi.\nhttps://t.co/0SsIVDP7Y7 https://t.co/mpCCl2SbB2',1,Ketua Satgas Ikatan Dokter Indonesia IDI Prof Zubairi Djoerban menyebut soal kemungkinan orang yang terinfeksi varian baru virus Corona meninggal dunia lebih tinggi,ketua satgas ikatan dokter indonesia idi prof zubairi djoerban menyebut soal kemungkinan orang yang terinfeksi varian baru virus corona meninggal dunia lebih tinggi,ketua satgas ikat dokter indonesia idi prof zubairi djoerban sebut orang infeksi varian virus corona tinggal dunia
"b'Pendahuluan\n\nHari Minggu, 28 Juni 2020 CNN Indonesia merilis berita dari istana bahwa Presiden Jokowi gusar terhadap kinerja Kementerian/ Lembaga yang bekerja biasa-biasa saja padahal bangsa ini sedang menghadapi masa krisis akibatpandemi Covid-19/Corona\n\nhttps://t.co/IHy4iol0X2 https://t.co/qExDc4YTTw'",-1,Pendahuluan Hari Minggu Juni CNN Indonesia merilis berita dari istana bahwa Presiden Jokowi gusar terhadap kinerja Kementerian Lembaga yang bekerja biasabiasa saja padahal bangsa ini sedang menghadapi masa krisis akibatpandemi Covid Corona,pendahuluan hari minggu juni cnn indonesia merilis berita dari istana bahwa presiden jokowi gusar terhadap kinerja kementerian lembaga yang bekerja biasabiasa saja padahal bangsa ini sedang menghadapi masa krisis akibatpandemi covid corona,dahulu minggu juni cnn indonesia rilis berita istana presiden jokowi gusar kerja menteri lembaga biasabiasa bangsa hadap krisis akibatpandemi covid corona
b'Dukung vaksinasi virus covid-19 agar Indonesia terbebas dari pandemi Corona https://t.co/OmUPIpzTBu',1,Dukung vaksinasi virus covid agar Indonesia terbebas dari pandemi Corona,dukung vaksinasi virus covid agar indonesia terbebas dari pandemi corona,dukung vaksinasi virus covid indonesia bebas pandemi corona
b'@sjatriadi1 @Candraasmara85 @Vi_MAE_ @Corona_KafirNw @buss1026btm2 @FerryNLangelo @ArisWila @helinujhoe @leonsys0305 @Ephraym9 @harihariono1 @Parapat_Nixon @MataIndonesia8 @g0bell_78 MUI Indonesia kebanyakan minum khamer makanya ngawur. MUI Srilangka yg bener dgn tutup 1000 pesantren yg diduga radikal dan pelarangan burkha. Sebelum terlambat mereka menempuh jalan yg sangat benar.',1,MAE KafirNw Nixon MUI Indonesia kebanyakan minum khamer makanya ngawur MUI Srilangka bener dgn tutup pesantren diduga radikal dan pelarangan burkha Sebelum terlambat mereka menempuh jalan sangat benar,mae kafirnw nixon mui indonesia kebanyakan minum khamer makanya ngawur mui srilangka bener dgn tutup pesantren diduga radikal dan pelarangan burkha sebelum terlambat mereka menempuh jalan sangat benar,mae kafirnw nixon mui indonesia banyak minum khamer ngawur mui srilangka bener dgn tutup pesantren duga radikal larang burkha lambat tempuh jalan
"b'OPS YUSTISI PROTOKOL KESEHATAN\n.\nBersama Kita Bisa, Indonesia Lawan Corona!\n\n#KemenPANRB\n#PelayananPublik\n#KIPP2021\n#JawaTimurBangkit\n#PolisiIndonesia\n#PolriPresisi \n\n@divisihumaspolri @humaspoldajatim @kemenpanrb @ditlantaspoldajatim @rtmcjatim @satlantasprobolinggo https://t.co/F707sTyjAe'",0,OPS YUSTISI PROTOKOL KESEHATAN Bersama Kita Bisa Indonesia Lawan Corona,ops yustisi protokol kesehatan bersama kita bisa indonesia lawan corona,ops yustisi protokol sehat indonesia lawan corona
"b'@S4fitr1HS Dan banyak juga yang Kadrun mereka, gak percaya corona juga buanyaaak.... tapi ya sudahlah, mereka warga Indonesia juga yang butuh diberi perhatian oleh Presiden....'",1,Dan banyak juga yang Kadrun mereka gak percaya corona juga buanyaaak tapi sudahlah mereka warga Indonesia juga yang butuh diberi perhatian oleh Presiden,dan banyak juga yang kadrun mereka gak percaya corona juga buanyaaak tapi sudahlah mereka warga indonesia juga yang butuh diberi perhatian oleh presiden,kadrun gak percaya corona buanyaaak warga indonesia butuh perhati presiden
"b'[WASPADA MUTASI VIRUS CORONA! ANCAMAN APA YANG DIBAWA?]\n\nVarian baru hasil mutasi virus COVID-19 sudah bermunculan di berbagai negara, salah satunya negara Indonesia. Ada tiga jenis kasus infeksi varian virus COVID-19 di Indonesia, dua di antaranya perlu dicemaskan karena (...) https://t.co/ZVeo70Sljw'",0,WASPADA MUTASI VIRUS CORONA ANCAMAN APA YANG DIBAWA Varian baru hasil mutasi virus COVID sudah bermunculan berbagai negara salah satunya negara Indonesia Ada tiga jenis kasus infeksi varian virus COVID Indonesia dua antaranya perlu dicemaskan karena,waspada mutasi virus corona ancaman apa yang dibawa varian baru hasil mutasi virus covid sudah bermunculan berbagai negara salah satunya negara indonesia ada tiga jenis kasus infeksi varian virus covid indonesia dua antaranya perlu dicemaskan karena,waspada mutasi virus corona ancam bawa varian hasil mutasi virus covid muncul negara salah satu negara indonesia jenis infeksi varian virus covid indonesia cemas
"b'Untuk Semua yang Bekerja sebagai Magang\nAda sistem yang dapat digunakan oleh magang, ketika pelaksana pemagangan meliburkan tempat kerja, apabila kena PHK, dan jika mencari pekerjaan baru akibat penyebaran virus corona jenis baru. https://t.co/2T3ifc82CI'",1,Untuk Semua yang Bekerja sebagai Magang Ada sistem yang dapat digunakan oleh magang ketika pelaksana pemagangan meliburkan tempat kerja apabila kena PHK dan jika mencari pekerjaan baru akibat penyebaran virus corona jenis baru,untuk semua yang bekerja sebagai magang ada sistem yang dapat digunakan oleh magang ketika pelaksana pemagangan meliburkan tempat kerja apabila kena phk dan jika mencari pekerjaan baru akibat penyebaran virus corona jenis baru,magang sistem magang laksana magang libur kerja kena phk cari kerja akibat sebar virus corona jenis
"b'Meskipun wabah Corona ini masih ada, namun tetap tra membuat PT Freeport Indonesia untuk berhenti berjuang bersama dengan putra-putri lokal Papua'",0,Meskipun wabah Corona ini masih ada namun tetap tra membuat Freeport Indonesia untuk berhenti berjuang bersama dengan putraputri lokal Papua,meskipun wabah corona ini masih ada namun tetap tra membuat freeport indonesia untuk berhenti berjuang bersama dengan putraputri lokal papua,wabah corona tra freeport indonesia henti juang putraputri lokal papua
b'Indonesia saat ini sedang dlm keadaan mendesak berkaitan dg ancaman penularan virus corona. Fakta itu jd salah satu pertimbangan MUI membolehkan penggunaan vaksin AstraZeneca.\n#AstraZenecaLawanCorona',0,Indonesia saat ini sedang dlm keadaan mendesak berkaitan ancaman penularan virus corona Fakta itu salah satu pertimbangan MUI membolehkan penggunaan vaksin AstraZeneca,indonesia saat ini sedang dlm keadaan mendesak berkaitan ancaman penularan virus corona fakta itu salah satu pertimbangan mui membolehkan penggunaan vaksin astrazeneca,indonesia dlm desak kait ancam tular virus corona fakta salah timbang mui boleh guna vaksin astrazeneca
b'\xf0\x9f\x93\xb7 Ayo datang ke Puskesmas terdekat untuk ikut Vaksinasi Covid-19. Menuju Indonesia bebas Corona\xf0\x9f\x99\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xa9 #vaks\xc3\xacncovid19 #indonesialawancorona #pedulilindungi #lawancorona #bebascorona #IndonesiaMaju... https://t.co/GqH30ulGjH',-1,Ayo datang Puskesmas terdekat untuk ikut Vaksinasi Covid Menuju Indonesia bebas Corona xae xacncovid,ayo datang puskesmas terdekat untuk ikut vaksinasi covid menuju indonesia bebas corona xae xacncovid,ayo puskesmas dekat vaksinasi covid indonesia bebas corona xae xacncovid
b'Ayo datang ke Puskesmas terdekat untuk ikut Vaksinasi Covid-19. \n\nMenuju Indonesia bebas Corona\xf0\x9f\x99\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xa9\n\n#vaks\xc3\xacncovid19 \n#indonesialawancorona \n#pedulilindungi \n#lawancorona \n#bebascorona \n#IndonesiaMaju https://t.co/JXBNDo5gWx',0,Ayo datang Puskesmas terdekat untuk ikut Vaksinasi Covid Menuju Indonesia bebas Corona xae xacncovid,ayo datang puskesmas terdekat untuk ikut vaksinasi covid menuju indonesia bebas corona xae xacncovid,ayo puskesmas dekat vaksinasi covid indonesia bebas corona xae xacncovid
b'Dahsyatnya efek samping Covid-19 :\n1. Pembuat kebijakan keuangan ga boleh digugat\n2. Pembuat Vaksin ga boleh digugat.\n\nIndonesia Diminta Tak Boleh Gugat Jika Efek Vaksin Corona Membahayakan \n\nhttps://t.co/fvfZ0SaybF',1,Dahsyatnya efek samping Covid Pembuat kebijakan keuangan boleh digugat Pembuat Vaksin boleh digugat Indonesia Diminta Tak Boleh Gugat Jika Efek Vaksin Corona Membahayakan,dahsyatnya efek samping covid pembuat kebijakan keuangan boleh digugat pembuat vaksin boleh digugat indonesia diminta tak boleh gugat jika efek vaksin corona membahayakan,dahsyat efek samping covid buat bijak uang gugat buat vaksin gugat indonesia gugat efek vaksin corona bahaya
"b'@dr_koko28 Sekarang gni dok\nFlu itu virus juga kan tapi org yg sakit flu di amerika cina afrika n indonesia sama aja ngga ada bedanya\nTpi anehnya corona yg di cina meninggal di jalanan kejang"" tpi coba sebutin satu saja di selain cina dgn kondisi yg sama\nTentu hal ini nyata PEMBODOHANx'",1,koko Sekarang gni dok Flu itu virus juga kan tapi org sakit flu amerika cina afrika indonesia sama aja ngga ada bedanya Tpi anehnya corona cina meninggal jalanan kejang tpi coba sebutin satu saja selain cina dgn kondisi sama Tentu hal ini nyata PEMBODOHANx,koko sekarang gni dok flu itu virus juga kan tapi org sakit flu amerika cina afrika indonesia sama aja ngga ada bedanya tpi anehnya corona cina meninggal jalanan kejang tpi coba sebutin satu saja selain cina dgn kondisi sama tentu hal ini nyata pembodohanx,koko gni dok flu virus org sakit flu amerika cina afrika indonesia aja ngga beda tpi aneh corona cina tinggal jalan kejang tpi coba sebutin cina dgn kondisi nyata pembodohanx
b'Dukung vaksinasi virus covid-19 agar Indonesia terbebas dari pandemi Corona. #VaksinMembawaDampakBaik https://t.co/Sivu7pFBe2',1,Dukung vaksinasi virus covid agar Indonesia terbebas dari pandemi Corona,dukung vaksinasi virus covid agar indonesia terbebas dari pandemi corona,dukung vaksinasi virus covid indonesia bebas pandemi corona
"b""https://t.co/eqbAEOGtBo\n\nVaksinasi C-19 yg dilaksanakan di Indonesia menggunakan cara injeksi. Secara syar'i vaksinasi menggunakan injeksi/suntikan ini tidak membatalkan puasa.\n\nVaksin Jalan Puasa Lancar\n#VaksinTakBatalkanPuasa""",1,Vaksinasi dilaksanakan Indonesia menggunakan cara injeksi Secara syar vaksinasi menggunakan injeksisuntikan ini tidak membatalkan puasa Vaksin Jalan Puasa Lancar,vaksinasi dilaksanakan indonesia menggunakan cara injeksi secara syar vaksinasi menggunakan injeksisuntikan ini tidak membatalkan puasa vaksin jalan puasa lancar,vaksinasi laksana indonesia injeksi syar vaksinasi injeksisuntikan batal puasa vaksin jalan puasa lancar
"b'Vaksinasi Covid-19 bertujuan untuk menurunkan angka penyebaran dan kematian akibat virus corona, dan juga jika sudah divaksin, maka dapat melindungi orang orang di sekitarnya. Papua Bagian Indonesia \n#DukungDanKawalOtsus #PapuaIndonesia https://t.co/Fk9KeI73Pj'",-1,Vaksinasi Covid bertujuan untuk menurunkan angka penyebaran dan kematian akibat virus corona dan juga jika sudah divaksin maka dapat melindungi orang orang sekitarnya Papua Bagian Indonesia,vaksinasi covid bertujuan untuk menurunkan angka penyebaran dan kematian akibat virus corona dan juga jika sudah divaksin maka dapat melindungi orang orang sekitarnya papua bagian indonesia,vaksinasi covid tuju turun angka sebar mati akibat virus corona vaksin lindung orang orang papua indonesia
"b'Drama Ojol Indonesia - #KitaVsCorona\nPerjuangan melawan Corona belum usai, Grab bekerja sama dengan Ind... - https://t.co/HZ1sDtuWQZ https://t.co/ZLLMpItG4r'",0,Drama Ojol Indonesia Perjuangan melawan Corona belum usai Grab bekerja sama dengan Ind,drama ojol indonesia perjuangan melawan corona belum usai grab bekerja sama dengan ind,drama ojol indonesia juang lawan corona grab ind
"b'Ketua tim advokasi pelaksanaan vaksinasi pengurus besar ikatan dokter Indonesia (IDI), Iris Rengganis mengemukakan bahwa belum ada penelitian tentang dampak dari vaksin Corona pada Ibu hamil\n\n#VaksinMembawaDampakBaik https://t.co/vHRhIeHhxb'",1,Ketua tim advokasi pelaksanaan vaksinasi pengurus besar ikatan dokter Indonesia IDI Iris Rengganis mengemukakan bahwa belum ada penelitian tentang dampak dari vaksin Corona pada   u hamil,ketua tim advokasi pelaksanaan vaksinasi pengurus besar ikatan dokter indonesia idi iris rengganis mengemukakan bahwa belum ada penelitian tentang dampak dari vaksin corona pada   u hamil,ketua tim advokasi laksana vaksinasi urus ikat dokter indonesia idi iris rengganis muka teliti dampak vaksin corona u hamil
"b'Update Virus Corona Indonesia: 4.396 Kasus Baru Total 1.460.184 Orang, Sulsel 59022 Positif\n\nhttps://t.co/GseDIDWJNP'",1,Update Virus Corona Indonesia Kasus Baru Total Orang Sulsel Positif,update virus corona indonesia kasus baru total orang sulsel positif,update virus corona indonesia total orang sulsel positif
"b'Yg ngatain Yuta juara jalur corona, atau menang gara-gara Indonesia gak maen parah sih, kayak gak pernah lihat badminton.\nYuta kalau lagi bener, ada China, Korea, Indonesiapun dia tetep bisa juara, buktinya dari 2018 dia selalu masuk final. 2019 doang gak juara.'",1,ngatain Yuta juara jalur corona atau menang garagara Indonesia gak maen parah sih kayak gak pernah lihat badminton Yuta kalau lagi bener ada China Korea Indonesiapun dia tetep bisa juara buktinya dari dia selalu masuk final doang gak juara,ngatain yuta juara jalur corona atau menang garagara indonesia gak maen parah sih kayak gak pernah lihat badminton yuta kalau lagi bener ada china korea indonesiapun dia tetep bisa juara buktinya dari dia selalu masuk final doang gak juara,ngatain yuta juara jalur corona menang garagara indonesia gak maen parah sih kayak gak lihat badminton yuta bener china korea indonesia tetep juara bukti masuk final doang gak juara
b'gue kangen sama mereka sedangkan mereka? baik\xc2\xb2 aja di sana mereka tau kita hidup ajah kaga\xf0\x9f\x99\x82\xf0\x9f\x98\xab.kita di sini nangis karena mikir bisa ga yah kita ketemu mereka tapi pasti bisa yakin\xe2\x9d\x97yu corona selesai yu biar mereka bisa konser di indonesia semangattt nabung nyaa \xf0\x9f\xa4\x8d\xf0\x9f\xa4\xb2',1,gue kangen sama mereka sedangkan mereka baik aja sana mereka tau kita hidup ajah kaga xabkita sini nangis karena mikir bisa yah kita ketemu mereka tapi pasti bisa yakin corona selesai biar mereka bisa konser indonesia semangattt nabung nyaa,gue kangen sama mereka sedangkan mereka baik aja sana mereka tau kita hidup ajah kaga xabkita sini nangis karena mikir bisa yah kita ketemu mereka tapi pasti bisa yakin corona selesai biar mereka bisa konser indonesia semangattt nabung nyaa,gue kangen aja tau hidup ajah kaga xabkita nang mikir yah ketemu corona selesai biar konser indonesia semangattt nabung nyaa
"b'@AlbertSolo2 Padahal waktu menjajah Indonesia, Belanda tidak akan meninggalkan 2 bidang yaitu Kesehatan dan Pendidikan, walaupun mereka menjajah namun 2 bidang itu harus dimuliakan..skr malah mereka yg mati akal menghadapi Corona 19 ini..gimana tuh ???'",-1,Padahal waktu menjajah Indonesia Belanda tidak akan meninggalkan bidang yaitu Kesehatan dan Pendidikan walaupun mereka menjajah namun bidang itu harus dimuliakanskr malah mereka mati akal menghadapi Corona inigimana tuh,padahal waktu menjajah indonesia belanda tidak akan meninggalkan bidang yaitu kesehatan dan pendidikan walaupun mereka menjajah namun bidang itu harus dimuliakanskr malah mereka mati akal menghadapi corona inigimana tuh,jajah indonesia belanda tinggal bidang sehat didik jajah bidang dimuliakanskr mati akal hadap corona inigimana tuh
b'Mimin mengajak seluruh masyarakat Indonesia untuk mendukung program vaksinasi Covid-19. Vaksinasi aman dan halal demi melawan penyebaran Covid-19. Bersama kita bisa melawan virus corona! https://t.co/9OYjcpsJkg',1,Mimin mengajak seluruh masyarakat Indonesia untuk mendukung program vaksinasi Covid Vaksinasi aman dan halal demi melawan penyebaran Covid Bersama kita bisa melawan virus corona,mimin mengajak seluruh masyarakat indonesia untuk mendukung program vaksinasi covid vaksinasi aman dan halal demi melawan penyebaran covid bersama kita bisa melawan virus corona,mimin ajak masyarakat indonesia dukung program vaksinasi covid vaksinasi aman halal lawan sebar covid lawan virus corona
"b'Beragam Prediksi Herd Immunity, Jadinya Kapan Indonesia Bebas Corona? https://t.co/nBbbsE6ec5'",1,Beragam Prediksi Herd Immunity Jadinya Kapan Indonesia Bebas Corona,beragam prediksi herd immunity jadinya kapan indonesia bebas corona,agam prediksi herd immunity indonesia bebas corona
"b'UPDATE Corona Indonesia, Minggu (21/3): Tambah 4.396 kasus baru, ingat prokes https://t.co/Om6OkCP36q #Terbaru #berita #kontan #live'",1,UPDATE Corona Indonesia Minggu Tambah kasus baru ingat prokes,update corona indonesia minggu tambah kasus baru ingat prokes,update corona indonesia minggu prokes
b'Pemerintah India Cemas Festival Kumbh Mela Bisa Picu Lonjakan Kasus Corona https://t.co/OBacpVhahT lewat @Id-Times - Berita Indonesia Terkini - Politik | Hukum | Ekonomi | Nasional',0,Pemerintah India Cemas Festival Kumbh Mela Bisa Picu Lonjakan Kasus Corona lewat Times Berita Indonesia Terkini Politik Hukum Ekonomi Nasional,pemerintah india cemas festival kumbh mela bisa picu lonjakan kasus corona lewat times berita indonesia terkini politik hukum ekonomi nasional,perintah india cemas festival kumbh mela picu lonjak corona times berita indonesia kini politik hukum ekonomi nasional
"b'[LITERASI CERIA] \n\nSetahun berlalu, Indonesia dan seluruh dunia hingga kini masih bergelut melawan virus corona. Hal ini mendorong pemerintah untuk mengeluarkan berbagai kebijakan untuk menekan angka penyebaran virus Covid-19. https://t.co/5mJSoDFrXA'",0,LITERASI CERIA Setahun berlalu Indonesia dan seluruh dunia hingga kini masih bergelut melawan virus corona Hal ini mendorong pemerintah untuk mengeluarkan berbagai kebijakan untuk menekan angka penyebaran virus Covid,literasi ceria setahun berlalu indonesia dan seluruh dunia hingga kini masih bergelut melawan virus corona hal ini mendorong pemerintah untuk mengeluarkan berbagai kebijakan untuk menekan angka penyebaran virus covid,literasi ceria tahun indonesia dunia gelut lawan virus corona dorong perintah keluar bijak tekan angka sebar virus covid
"b'Sudahi dulu bucinmu ingat tanggal 22 maret, sainganmu sak indonesia ora sak kelas\n.\n.\n.\n.\nSemangat lulusan corona part 2 \xf0\x9f\xa4\xa3'",1,Sudahi dulu bucinmu ingat tanggal maret sainganmu sak indonesia ora sak kelas Semangat lulusan corona part,sudahi dulu bucinmu ingat tanggal maret sainganmu sak indonesia ora sak kelas semangat lulusan corona part,sudah bucinmu tanggal maret saing sak indonesia ora sak kelas semangat lulus corona part
b'Pembatasan WNA masuk ke Indonesia untuk mengantisipasi penyebaran varian baru virus Corona B117. #WNAdilarangmasukIndonesia https://t.co/6vKfTxQ9F6',1,Pembatasan WNA masuk Indonesia untuk mengantisipasi penyebaran varian baru virus Corona,pembatasan wna masuk indonesia untuk mengantisipasi penyebaran varian baru virus corona,batas wna masuk indonesia antisipasi sebar varian virus corona
"b'Vaksin telah tersedia, tetapi jangan sampai abai Protokol Kesehatan\n\nPatuh 5M untuk Indonesia Bebas Corona\n\nKeluarga RMP\n#DoaKeluargaRMP https://t.co/pvmAIctoVW'",1,Vaksin telah tersedia tetapi jangan sampai   ai Protokol Kesehatan Patuh untuk Indonesia Bebas Corona Keluarga RMP,vaksin telah tersedia tetapi jangan sampai   ai protokol kesehatan patuh untuk indonesia bebas corona keluarga rmp,vaksin sedia ai protokol sehat patuh indonesia bebas corona keluarga rmp
b'Penjaga Perbatasan Indonesia di NTT Vaksinasi Corona https://t.co/0CQQ6pEfvK https://t.co/6chkfgtGlY',0,Penjaga Perbatasan Indonesia NTT Vaksinasi Corona,penjaga perbatasan indonesia ntt vaksinasi corona,jaga batas indonesia ntt vaksinasi corona
b'Indonesia bangkit menuju negara maju dan sukses mencegah penyebaran virus CORONA \n\n#DoaKeluargaRMP utk keberhasilan vaksinasi nasional \n\nKeluarga RMP https://t.co/i5VIUYdFE0',1,Indonesia bangkit menuju negara maju dan sukses mencegah penyebaran virus CORONA utk keberhasilan vaksinasi nasional Keluarga RMP,indonesia bangkit menuju negara maju dan sukses mencegah penyebaran virus corona utk keberhasilan vaksinasi nasional keluarga rmp,indonesia bangkit negara maju sukses cegah sebar virus corona utk hasil vaksinasi nasional keluarga rmp
"b'Update Persebaran Corona per 21 Maret 2021, Berikut Data Lengkap 34 Provinsi di Indonesia\n \nhttps://t.co/BiUp3g7Mny via @tribunnews'",1,Update Persebaran Corona per Maret Berikut Data Lengkap Provinsi Indonesia via,update persebaran corona per maret berikut data lengkap provinsi indonesia via,update sebar corona maret data lengkap provinsi indonesia via
"b'Jadi ya..dampak jeng Corona ini bukan cm di Indonesia aja, sedunia jg terdampak kok. Kebetulan skulaan anak gw pake kurikulum Cambridge, u ujian kls 10nya, biasanya hasil ujian anak2 dr sini itu dikirim ke Cambridge. Trus kita disini deg2an nunggu hslnya gt deh'",-1,Jadi dampak jeng Corona ini bukan Indonesia aja sedunia terdampak kok Kebetulan skulaan anak pake kurikulum Cambridge ujian kls nya biasanya hasil ujian anak sini itu dikirim Cambridge Trus kita disini deg nunggu hslnya deh,jadi dampak jeng corona ini bukan indonesia aja sedunia terdampak kok kebetulan skulaan anak pake kurikulum cambridge ujian kls nya biasanya hasil ujian anak sini itu dikirim cambridge trus kita disini deg nunggu hslnya deh,dampak jeng corona indonesia aja dunia dampak skulaan anak pake kurikulum cambridge uji kls nya hasil uji anak kirim cambridge trus deg nunggu hslnya deh
"b'Waspada Mutasi Varian Baru Corona, Pemerintah Terus Batasi WNA ke Indonesia https://t.co/l4kqRaXMfW'",-1,Waspada Mutasi Varian Baru Corona Pemerintah Terus Batasi WNA Indonesia,waspada mutasi varian baru corona pemerintah terus batasi wna indonesia,waspada mutasi varian corona perintah batas wna indonesia
"b'#Imbas Corona, Laba Perusahaan Orang Terkaya Hong Kong Anjlok - CNBC Indonesia #Corona #Korona'",0,Corona Laba Perusahaan Orang Terkaya Hong Kong Anjlok CNBC Indonesia,corona laba perusahaan orang terkaya hong kong anjlok cnbc indonesia,corona laba usaha orang kaya hong kong anjlok cnbc indonesia
b'Indonesia duduk di peringkat pertama dalam keefektifan penanganan Corona andai 84 negara lainnya tidak ada.\nSelamat. https://t.co/Nd976xpZzQ',-1,Indonesia duduk peringkat pertama dalam keefektifan penanganan Corona andai negara lainnya tidak ada Selamat,indonesia duduk peringkat pertama dalam keefektifan penanganan corona andai negara lainnya tidak ada selamat,indonesia duduk peringkat efektif tangan corona andai negara selamat
